timestamp,alpha,beta,theta
2024-11-19 15:40:43.419826,,0.5988657474517822,
2024-11-19 15:40:43.419826,0.7312706112861633,,
2024-11-19 15:40:43.420365,,,0.7135774493217468
2024-11-19 15:40:43.485281,0.7312706112861633,,
2024-11-19 15:40:43.485281,,0.5988657474517822,
2024-11-19 15:40:43.485829,,,0.7135774493217468
2024-11-19 15:40:43.651066,0.7312706112861633,,
2024-11-19 15:40:43.651574,,0.5988657474517822,
2024-11-19 15:40:43.653159,,,0.7135774493217468
2024-11-19 15:40:43.716574,0.7312706112861633,,
2024-11-19 15:40:43.717090,,,0.7135774493217468
2024-11-19 15:40:43.717090,,0.5988657474517822,
2024-11-19 15:40:43.815095,,,0.7135774493217468
2024-11-19 15:40:43.826831,0.7312706112861633,,
2024-11-19 15:40:43.827361,,0.5988657474517822,
2024-11-19 15:40:43.926599,0.7312706112861633,,
2024-11-19 15:40:43.927142,,0.5988657474517822,
2024-11-19 15:40:43.927650,,,0.7135774493217468
2024-11-19 15:40:44.016541,0.7312706112861633,,
2024-11-19 15:40:44.016541,,,0.7135774493217468
2024-11-19 15:40:44.017051,,0.5988657474517822,
2024-11-19 15:40:44.085703,0.7312706112861633,,
2024-11-19 15:40:44.085703,,0.5988657474517822,
2024-11-19 15:40:44.086226,,,0.7135774493217468
2024-11-19 15:40:44.251520,0.7312706112861633,,
2024-11-19 15:40:44.252048,,0.5988657474517822,
2024-11-19 15:40:44.252048,,,0.7135774493217468
2024-11-19 15:40:44.348263,,0.5988657474517822,
2024-11-19 15:40:44.348790,,,0.7135774493217468
2024-11-19 15:40:44.348790,0.7312706112861633,,
2024-11-19 15:40:44.451316,0.7312706112861633,,
2024-11-19 15:40:44.451820,,0.5988657474517822,
2024-11-19 15:40:44.452330,,,0.7135774493217468
2024-11-19 15:40:44.522404,0.7312706112861633,,
2024-11-19 15:40:44.522911,,0.5988657474517822,
2024-11-19 15:40:44.524473,,,0.7135774493217468
2024-11-19 15:40:44.619100,0.7312706112861633,,
2024-11-19 15:40:44.619640,,,0.7135774493217468
2024-11-19 15:40:44.619640,,0.5988657474517822,
2024-11-19 15:40:44.715707,,0.5988657474517822,
2024-11-19 15:40:44.715707,0.7312706112861633,,
2024-11-19 15:40:44.716251,,,0.7135774493217468
2024-11-19 15:40:44.851588,,0.5988657474517822,
2024-11-19 15:40:44.851588,0.7312706112861633,,
2024-11-19 15:40:44.852134,,,0.7135774493217468
2024-11-19 15:40:44.955067,0.7312706112861633,,
2024-11-19 15:40:44.955067,,0.5988657474517822,
2024-11-19 15:40:44.955587,,,0.7135774493217468
2024-11-19 15:40:45.055629,0.7312706112861633,,
2024-11-19 15:40:45.055629,,0.5988657474517822,
2024-11-19 15:40:45.056152,,,0.7135774493217468
2024-11-19 15:40:45.148206,,0.5988657474517822,
2024-11-19 15:40:45.148206,0.7312706112861633,,
2024-11-19 15:40:45.148775,,,0.7135774493217468
2024-11-19 15:40:45.232597,,0.5988657474517822,
2024-11-19 15:40:45.232597,0.7312706112861633,,
2024-11-19 15:40:45.234141,,,0.7135774493217468
2024-11-19 15:40:45.314165,,,0.7135774493217468
2024-11-19 15:40:45.314689,0.7312706112861633,,
2024-11-19 15:40:45.315207,,0.5988657474517822,
2024-11-19 15:40:45.463663,,,0.7135774493217468
2024-11-19 15:40:45.464174,,0.5988657474517822,
2024-11-19 15:40:45.464174,0.7312706112861633,,
2024-11-19 15:40:45.565136,0.7312706112861633,,
2024-11-19 15:40:45.566199,,,0.7135774493217468
2024-11-19 15:40:45.566199,,0.5988657474517822,
2024-11-19 15:40:45.634604,0.7312706112861633,,
2024-11-19 15:40:45.635141,,0.5988657474517822,
2024-11-19 15:40:45.635141,,,0.7135774493217468
2024-11-19 15:40:45.739035,0.7312706112861633,,
2024-11-19 15:40:45.739578,,0.5988657474517822,
2024-11-19 15:40:45.741156,,,0.7135774493217468
2024-11-19 15:40:45.845702,,,0.7135774493217468
2024-11-19 15:40:45.845702,0.7312706112861633,,
2024-11-19 15:40:45.845702,,0.5988657474517822,
2024-11-19 15:40:45.942523,,0.5988657474517822,
2024-11-19 15:40:45.942523,0.7312706112861633,,
2024-11-19 15:40:45.943041,,,0.7135774493217468
2024-11-19 15:40:46.065458,,0.5988657474517822,
2024-11-19 15:40:46.065991,0.7312706112861633,,
2024-11-19 15:40:46.065991,,,0.7135774493217468
2024-11-19 15:40:46.184940,0.7312706112861633,,
2024-11-19 15:40:46.185951,,0.5988657474517822,
2024-11-19 15:40:46.187623,,,0.7135774493217468
2024-11-19 15:40:46.246457,,,0.7135774493217468
2024-11-19 15:40:46.249619,,0.5988657474517822,
2024-11-19 15:40:46.249619,0.7312706112861633,,
2024-11-19 15:40:46.347424,,0.5988657474517822,
2024-11-19 15:40:46.347424,0.7312706112861633,,
2024-11-19 15:40:46.347941,,,0.7135774493217468
2024-11-19 15:40:46.443339,,0.5988657474517822,
2024-11-19 15:40:46.443851,,,0.7135774493217468
2024-11-19 15:40:46.443851,0.7312706112861633,,
2024-11-19 15:40:46.521637,0.7312706112861633,,
2024-11-19 15:40:46.521637,,0.5988657474517822,
2024-11-19 15:40:46.522177,,,0.7135774493217468
2024-11-19 15:40:46.684620,0.7312706112861633,,
2024-11-19 15:40:46.685130,,0.5988657474517822,
2024-11-19 15:40:46.685130,,,0.7135774493217468
2024-11-19 15:40:46.778248,,,0.7135774493217468
2024-11-19 15:40:46.778248,,0.5988657474517822,
2024-11-19 15:40:46.779834,0.7312706112861633,,
2024-11-19 15:40:46.879811,0.7312706112861633,,
2024-11-19 15:40:46.879811,,,0.7135774493217468
2024-11-19 15:40:46.879811,,0.5988657474517822,
2024-11-19 15:40:46.949373,,0.5988657474517822,
2024-11-19 15:40:46.949373,0.7312706112861633,,
2024-11-19 15:40:46.950969,,,0.7135774493217468
2024-11-19 15:40:47.046987,,0.5988657474517822,
2024-11-19 15:40:47.048004,,,0.7135774493217468
2024-11-19 15:40:47.048004,0.7312706112861633,,
2024-11-19 15:40:47.144143,,,0.7135774493217468
2024-11-19 15:40:47.145189,,0.5988657474517822,
2024-11-19 15:40:47.145189,0.7312706112861633,,
2024-11-19 15:40:47.277774,,,0.7135774493217468
2024-11-19 15:40:47.277774,0.7312706112861633,,
2024-11-19 15:40:47.277774,,0.5988657474517822,
2024-11-19 15:40:47.378871,,0.5988657474517822,
2024-11-19 15:40:47.379397,,,0.7135774493217468
2024-11-19 15:40:47.379957,0.7312706112861633,,
2024-11-19 15:40:47.483473,,,0.7135774493217468
2024-11-19 15:40:47.483473,,0.5988657474517822,
2024-11-19 15:40:47.483473,0.7312706112861633,,
2024-11-19 15:40:47.577869,,0.5354921817779541,
2024-11-19 15:40:47.577869,0.7858297228813171,,
2024-11-19 15:40:47.577869,,,0.8723470568656921
2024-11-19 15:40:47.679066,,,1.0468469858169556
2024-11-19 15:40:47.679066,0.9090728759765625,,
2024-11-19 15:40:47.679066,,0.5998513102531433,
2024-11-19 15:40:47.743792,,0.6042465567588806,
2024-11-19 15:40:47.743792,0.9181368350982666,,
2024-11-19 15:40:47.744302,,,1.0363746881484985
2024-11-19 15:40:47.914408,,0.6160476803779602,
2024-11-19 15:40:47.914408,0.9184637665748596,,
2024-11-19 15:40:47.914947,,,1.0275012254714966
2024-11-19 15:40:47.982973,,0.6236395835876465,
2024-11-19 15:40:47.983522,0.9186401963233948,,
2024-11-19 15:40:47.984068,,,1.0259974002838135
2024-11-19 15:40:48.078648,0.9186401963233948,,
2024-11-19 15:40:48.079748,,0.6252509355545044,
2024-11-19 15:40:48.080293,,,1.0125991106033325
2024-11-19 15:40:48.182028,0.9186401963233948,,
2024-11-19 15:40:48.183051,,0.6252509355545044,
2024-11-19 15:40:48.184592,,,1.0125991106033325
2024-11-19 15:40:48.282313,,0.6252509355545044,
2024-11-19 15:40:48.282313,0.9186401963233948,,
2024-11-19 15:40:48.282816,,,1.0125991106033325
2024-11-19 15:40:48.379950,0.9189197421073914,,
2024-11-19 15:40:48.379950,,0.6217811107635498,
2024-11-19 15:40:48.380458,,,0.994232177734375
2024-11-19 15:40:48.507791,,0.6176958084106445,
2024-11-19 15:40:48.507791,0.9189197421073914,,
2024-11-19 15:40:48.508305,,,0.9764479994773865
2024-11-19 15:40:48.608368,,,0.9596269130706787
2024-11-19 15:40:48.608885,,0.6135715842247009,
2024-11-19 15:40:48.608885,0.9189197421073914,,
2024-11-19 15:40:48.707535,,,0.9446498155593872
2024-11-19 15:40:48.707535,,0.6097246408462524,
2024-11-19 15:40:48.708054,0.9189197421073914,,
2024-11-19 15:40:48.775885,0.9189197421073914,,
2024-11-19 15:40:48.776403,,,0.9319637417793274
2024-11-19 15:40:48.776403,,0.6055454015731812,
2024-11-19 15:40:48.875486,,,0.8995063304901123
2024-11-19 15:40:48.875486,,0.6004611253738403,
2024-11-19 15:40:48.876004,0.9180800914764404,,
2024-11-19 15:40:48.974479,0.911156952381134,,
2024-11-19 15:40:48.974479,,0.5951737761497498,
2024-11-19 15:40:48.975013,,,0.8638707995414734
2024-11-19 15:40:49.110101,0.8925482034683228,,
2024-11-19 15:40:49.110669,,,0.8210516571998596
2024-11-19 15:40:49.110669,,0.5898904800415039,
2024-11-19 15:40:49.215134,,0.5837708115577698,
2024-11-19 15:40:49.215134,0.846470832824707,,
2024-11-19 15:40:49.215652,,,0.7704035043716431
2024-11-19 15:40:49.309710,0.7864198088645935,,
2024-11-19 15:40:49.309710,,0.5753408074378967,
2024-11-19 15:40:49.310771,,,0.716255247592926
2024-11-19 15:40:49.409398,,0.5635996460914612,
2024-11-19 15:40:49.409940,0.7179832458496094,,
2024-11-19 15:40:49.410489,,,0.6688544154167175
2024-11-19 15:40:49.480245,0.676657497882843,,
2024-11-19 15:40:49.480772,,,0.6326689720153809
2024-11-19 15:40:49.480772,,0.5502079129219055,
2024-11-19 15:40:49.609655,0.6945282816886902,,
2024-11-19 15:40:49.609655,,0.5460800528526306,
2024-11-19 15:40:49.609655,,,0.636915385723114
2024-11-19 15:40:49.739587,,,0.639056384563446
2024-11-19 15:40:49.739587,,0.5523626208305359,
2024-11-19 15:40:49.740104,0.6974716186523438,,
2024-11-19 15:40:49.823733,,0.5570717453956604,
2024-11-19 15:40:49.824263,0.6979878544807434,,
2024-11-19 15:40:49.824263,,,0.6393628716468811
2024-11-19 15:40:49.913648,,0.5533706545829773,
2024-11-19 15:40:49.913648,0.6956800818443298,,
2024-11-19 15:40:49.914187,,,0.6362273097038269
2024-11-19 15:40:50.009913,0.6888243556022644,,
2024-11-19 15:40:50.010441,,,0.6370102167129517
2024-11-19 15:40:50.010441,,0.5516749620437622,
2024-11-19 15:40:50.109654,0.6858667135238647,,
2024-11-19 15:40:50.109654,,0.5519839525222778,
2024-11-19 15:40:50.109654,,,0.6399304270744324
2024-11-19 15:40:50.206864,,0.553367018699646,
2024-11-19 15:40:50.206864,0.684444010257721,,
2024-11-19 15:40:50.207392,,,0.6413617730140686
2024-11-19 15:40:50.346503,0.683600127696991,,
2024-11-19 15:40:50.346503,,0.555696964263916,
2024-11-19 15:40:50.347031,,,0.6398937106132507
2024-11-19 15:40:50.442864,,0.5598148107528687,
2024-11-19 15:40:50.442864,0.6834222674369812,,
2024-11-19 15:40:50.443385,,,0.6366151571273804
2024-11-19 15:40:50.505053,,,0.6284319758415222
2024-11-19 15:40:50.506083,0.6773718595504761,,
2024-11-19 15:40:50.506083,,0.5713332295417786,
2024-11-19 15:40:50.608861,,,0.6256303787231445
2024-11-19 15:40:50.613367,0.6714341044425964,,
2024-11-19 15:40:50.613367,,0.578406035900116,
2024-11-19 15:40:50.708552,0.6668656468391418,,
2024-11-19 15:40:50.708552,,0.5832346081733704,
2024-11-19 15:40:50.709063,,,0.6287635564804077
2024-11-19 15:40:50.810597,,,0.6351705193519592
2024-11-19 15:40:50.810597,,0.5882258415222168,
2024-11-19 15:40:50.810597,0.656912088394165,,
2024-11-19 15:40:50.939009,,,0.6408538222312927
2024-11-19 15:40:50.939573,0.6519129276275635,,
2024-11-19 15:40:50.940117,,0.5919228196144104,
2024-11-19 15:40:51.038990,0.6470381021499634,,
2024-11-19 15:40:51.039532,,0.5931267142295837,
2024-11-19 15:40:51.039532,,,0.6425643563270569
2024-11-19 15:40:51.149568,0.6383969187736511,,
2024-11-19 15:40:51.149568,,0.5917876362800598,
2024-11-19 15:40:51.150076,,,0.6385480165481567
2024-11-19 15:40:51.245264,,0.5899162888526917,
2024-11-19 15:40:51.245264,0.6170785427093506,,
2024-11-19 15:40:51.245264,,,0.6296679377555847
2024-11-19 15:40:51.342478,0.6166685819625854,,
2024-11-19 15:40:51.343036,,,0.6307938098907471
2024-11-19 15:40:51.343036,,0.5886639952659607,
2024-11-19 15:40:51.406429,,,0.6300848126411438
2024-11-19 15:40:51.406950,0.6166685819625854,,
2024-11-19 15:40:51.406950,,0.587964653968811,
2024-11-19 15:40:51.558411,0.6153256297111511,,
2024-11-19 15:40:51.558964,,,0.6248038411140442
2024-11-19 15:40:51.560053,,0.5862178802490234,
2024-11-19 15:40:51.655572,0.6132063865661621,,
2024-11-19 15:40:51.657127,,,0.6114540696144104
2024-11-19 15:40:51.657127,,0.5825220942497253,
2024-11-19 15:40:51.759266,,0.5771119594573975,
2024-11-19 15:40:51.759266,0.6086724400520325,,
2024-11-19 15:40:51.759779,,,0.5874389410018921
2024-11-19 15:40:51.823000,0.6040874123573303,,
2024-11-19 15:40:51.823000,,0.5701642036437988,
2024-11-19 15:40:51.823537,,,0.55413419008255
2024-11-19 15:40:51.927581,,0.5701642036437988,
2024-11-19 15:40:51.927581,0.6040874123573303,,
2024-11-19 15:40:51.928092,,,0.55413419008255
2024-11-19 15:40:52.025390,0.6040874123573303,,
2024-11-19 15:40:52.026993,,,0.55413419008255
2024-11-19 15:40:52.026993,,0.5701642036437988,
2024-11-19 15:40:52.156932,,0.5701642036437988,
2024-11-19 15:40:52.156932,0.6040874123573303,,
2024-11-19 15:40:52.157993,,,0.55413419008255
2024-11-19 15:40:52.251266,,0.5701642036437988,
